example_id,example_name,category,prompt,layer,readout,position,source_token,top1_token,rank
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,0,Fact, Fact,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,1,:,colon,61
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,2, The,e,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,3, country, country,1
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,4, whose, connexion,3
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,5, national, national,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,6, emblem, emblem,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,7, is, being,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,8, the, name,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,9, bird, bird,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,10, with,er,1
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,11, the, sea,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,12, white, white,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,13, head, head,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,14, on,screen,1
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,15, the, sea,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,16, Great,s,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,17, Seal, Seal,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,0,jacobian_lens,18, is, being,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,0,Fact, Fact,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,1,:,flu,29
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,2, The, Crown,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,3, country, country,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,4, whose, فى,4
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,5, national, national,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,6, emblem, emblem,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,7, is, being,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,8, the, series,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,9, bird, bird,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,10, with,er,1
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,11, the,kh,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,12, white, white,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,13, head, head,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,14, on,screen,1
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,15, the, sea,1
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,16, Great, Great,1
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,17, Seal, Seal,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,1,jacobian_lens,18, is, being,1
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,0,Fact, Fact,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,1,:,黄花,10
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,2, The, Forest,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,3, country, country,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,4, whose, whose,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,5, national, national,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,6, emblem, emblem,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,7, is, being,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,8, the, mother,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,9, bird, bird,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,10, with,er,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,11, the, photos,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,12, white, white,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,13, head,head,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,14, on,screen,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,15, the, south,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,16, Great, Great,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,17, Seal, Seal,0
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,2,jacobian_lens,18, is, being,2
example_003,bird-country-eagle,bird-country,Fact: The country whose national emblem is the bird with the white head on the Great Seal is,3,jacobian_lens,0,Fact, Fact,0
